2189,"Gigga Small TPU Pouch - Panda / Monogrammed",1,"Monogram Font",bookman-small,"Monogram Color",gold2_002,"Monogram Text",MEK
2188,"Dennis Dopp Kit - Camel / Monogrammed",1,"Monogram Font",bookman-large,"Monogram Color",blind2_004,"Monogram Text",PGM
2188,"Amelia Luggage Tag - Berry / Monogrammed",1,"Monogram Font",bookman-large,"Monogram Color",gold2_002,"Monogram Text",MEB
2186,"Amelia Luggage Tag - Black / Monogrammed",1,"Monogram Font",orbit,"Monogram Color",gold2_002,"Monogram Text",A
2183,"Brandy Nylon and Leather Backpack - Black / Monogrammed",1,"Monogram Font",jumbo,"Monogram Color",gold2_002,"Monogram Text",MA
2181,"Terra Large TPU Pouch - Jet / Monogrammed",1,"Monogram Font",orbit,"Monogram Color",gold2_002,"Monogram Text",J
2180,"Bree Medium Leather Clutch - Black / Monogrammed",1,"Monogram Font",bookman,"Monogram Color",blind2_004,"Monogram Text",SLA
2180,"GoGo Keychain - Navy / Monogrammed",1,"Monogram Font",bookman-small,"Monogram Color",gold2_002,"Monogram Text",MEM
2180,"GoGo Keychain - Pink / Monogrammed",1,"Monogram Font",bookman-small,"Monogram Color",gold2_002,"Monogram Text",JKC
2178,"Parker Nylon Tote / Embroidery - Black / Monogrammed",1,"Monogram Font",venti11,"Monogram Color",pink1,"Monogram Text",HTB
2177,"Ava Jewelry Case - Seafoam / Monogrammed",1,"Monogram Font",lowercase,"Monogram Color",blind2_004,"Monogram Text",ccn
2177,"GoGo Keychain - Navy / Monogrammed",1,"Monogram Font",lowercase,"Monogram Color",blind2_004,"Monogram Text",ccn
2176,"Amelia Luggage Tag - Mango / Monogrammed",1,"Monogram Font",stacked,"Monogram Color",gold2_002,"Monogram Text",NP
2176,"Amelia Luggage Tag - Mango / Monogrammed",1,"Monogram Font",stacked,"Monogram Color",gold2_002,"Monogram Text",CW
2176,"Amelia Luggage Tag - Mango / Monogrammed",1,"Monogram Font",stacked,"Monogram Color",gold2_002,"Monogram Text",JH
